"filename", "language", "CSS", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\User\Desktop\IFC_Viewer\src\bim-components\AppManager\index.ts", "TypeScript", 0, 7, 0, 1, 2, 10
"c:\Users\User\Desktop\IFC_Viewer\src\bim-components\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Help.ts", "TypeScript", 0, 14, 0, 1, 2, 17
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\ProjectInformation.ts", "TypeScript", 0, 45, 0, 0, 3, 48
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Sections\Groupings.ts", "TypeScript", 0, 70, 0, 0, 10, 80
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Selection.ts", "TypeScript", 0, 92, 0, 14, 17, 123
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Settings.ts", "TypeScript", 0, 53, 0, 0, 5, 58
"c:\Users\User\Desktop\IFC_Viewer\src\components\Tables\CustomSelections.ts", "TypeScript", 0, 93, 0, 0, 13, 106
"c:\Users\User\Desktop\IFC_Viewer\src\components\Toolbars\Sections\Camera.ts", "TypeScript", 0, 31, 0, 12, 7, 50
"c:\Users\User\Desktop\IFC_Viewer\src\components\Toolbars\Sections\Import.ts", "TypeScript", 0, 114, 0, 2, 15, 131
"c:\Users\User\Desktop\IFC_Viewer\src\components\Toolbars\Sections\Selection.ts", "TypeScript", 0, 86, 0, 0, 12, 98
"c:\Users\User\Desktop\IFC_Viewer\src\fullModel.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\IFC_Viewer\src\main.ts", "TypeScript", 0, 412, 0, 36, 75, 523
"c:\Users\User\Desktop\IFC_Viewer\src\plans.ts", "TypeScript", 0, 149, 0, 3, 27, 179
"c:\Users\User\Desktop\IFC_Viewer\src\road.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\IFC_Viewer\src\small.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\IFC_Viewer\src\style.css", "CSS", 71, 0, 0, 4, 11, 86
"c:\Users\User\Desktop\IFC_Viewer\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 71, 1167, 3, 74, 201, 1516